slang,formal
Gue ud makan dari tadi,Saya sudah makan dari tadi
Udah lama gue gak ketemu dia,Sudah lama saya tidak bertemu dia
Rumah gue di ujg jalan,Rumah saya di ujung jalan
Gue lagi belajar buat ulangan,Saya sedang belajar untuk ulangan
Anak kucing itu unyu banget,Anak kucing itu lucu sekali
Gue mau uplot foto baru,Saya mau mengunggah foto baru
Urang mah gak bisa bahasa sunda,Saya tidak bisa bahasa Sunda
Gak usah khawatir ya!,Tidak usah khawatir
Ini hadiah utk kamu,Ini hadiah untukmu
Nilai valas lagi naik turun,Nilai valuta asing lagi naik turun
Gue pergi w/ temen-temen,Saya pergi dengan teman-teman
Wadir rumah sakit itu mengundurkan diri,Wakil direktur rumah sakit itu mengundurkan diri
Dia ikut wamil tahun ini,Dia ikut wajib militer tahun ini
Kita nongkrong di warkop yuk!,Kita nongkrong di warung kopi
Gue suka makan di warteg,Saya suka makan di warung tegal
Gue mau ke wc dulu ya,Saya mau ke toilet dulu ya
Wdyt soal film ini?,Apa pendapatmu soal film ini?
Acara mulai jam 7 wib,Acara mulai pukul 7 wib
Gue gak ada wkt buat itu,Saya tidak ada waktu untuk itu
"Wkwk, lucu banget","Haha, lucu sekali"
"Wlpn dia jahat, gue tetep sayang","Walaupun dia jahat, saya tetap sayang"
"Woles aja, semua bakal baik-baik aja","Santai saja, semua akan baik-baik saja"
"Wow, keren banget!","Wah, keren sekali!"
Wrga sekitar sini baik-baik,Warga sekitar sini baik-baik
Ada wsb di sekitar sini,Ada wartawan sekitar sini
Wslm wr wb,Wassalamualaikum warahmatullahi wabarakatuh
Wt banget hari ini,Panas sekali hari ini
Wth is wrong with you?,Ada apa denganmu?
"Xixixi, gue cuma bercanda","Haha, saya cuma bercanda"
"Yaelah, gitu aja marah","Ayolah, hanya begitu saja marah"
Gue mau yg itu,Saya mau yang itu
"Yia, gue setuju","Ya, saya setuju"
"Yoi, bener banget!","Ya, benar sekali!"
"Yowes, kalo gitu gue balik duluan","Baiklah, kalau begitu saya pulang duluan"
"Yowis, terserah kamu","Baiklah, terserah kamu"
Yth bapak kepala sekolah,Yang terhormat bapak kepala sekolah
"Yuk, kita pergi sekarang","Mari, kita pergi sekarang"
Gue liat video ini di yutub,Saya melihat video ini di Youtube
"Zzzz, gue udah ngantuk banget",Saya sudah sangat mengantuk
Aamiin semoga kita semua sukses kata Andi,Amin semoga kita semua sukses kata Andi
Energi gue udah abizzzz nih keluh Budi,Energi saya sudah habis nih keluh Budi
Di sini ada makanan enak kata mereka,Di sini ada makanan enak kata mereka
Gue mau yang ini aj kata Rina,Saya mau yang ini saja kata Rina
Lo santai aja kata teman-temannya,Kamu santai saja kata teman-temannya
Akau yang akan pergi duluan ucapnya,Aku yang akan pergi duluan ucapnya
Ameen semoga doamu terkabul,Amin semoga doamu terkabul
Aminn semoga kita diberi kemudahan,Amin semoga kita diberi kemudahan
Amiinn ya Allah,Amin ya Allah
Amiinnn semoga dilancarkan,Amin semoga dilancarkan
Aq gak bisa ikut kalian,Aku tidak bisa ikut kalian
Wah ini makanan asliii enak banget!,Wah ini makanan asli enak sekali!
Astagfirrullah kok bisa begitu?,Astagfirullah kok bisa begitu?
Astgfrullah gue gak nyangka,Astagfirullah saya tidak menyangka
Itu jauh bgt dari rumahku,Itu jauh sekali dari rumahku
Gue suka bgt sama lagu ini,Saya suka sekali sama lagu ini
Dia mirip bgt sama artis itu,Dia mirip sekali sama artis itu
Pemandangannya indah bgttt,Pemandangannya indah sekali
Cocok bingiit baju itu di kamu,Cocok sekali baju itu di kamu
Snsd emang bingitsss!,Snsd memang sekali!
Lo harus bkin ini sendiri,Kamu harus bikin ini sendiri
Itu bkn urusan gue,Itu bukan urusan saya
Gue suka bngt sama film ini,Saya suka sekali sama film ini
Lagu ini emang enak bngt,Lagu ini memang enak sekali
Yang ini paling gue suka bngt,Yang ini paling saya suka sekali
Bnk tolong bantu gue dong,Bang tolong bantu saya dong
Keren abis lo bro!,Keren sekali kamu bro!
Ntar kita ketemu lagi ya bs?,Nanti kita ketemu lagi ya bisa?
Rumah gue ada d deket sini,Rumah saya ada di dekat sini
Oke gue pergi daah,Oke saya pergi dah
Akhirnya gue dapet juga tiketnya,Akhirnya saya dapat juga tiketnya
Gue pergi ke sana dgn dia,Saya pergi ke sana dengan dia
Wah keren banget dhe!,Wah keren sekali deh!
Dhi mana lo naruh kunci gue?,Di mana kamu menaruh kunci saya?
Dmn sih rumahnya?,Di mana sih rumahnya?
Dmna ya beli baju itu?,Di mana ya beli baju itu?
Semoga gue dpt nilai bagus,Semoga saya dapat nilai bagus
Hidayah bisa dtg kapan aja,Hidayah bisa datang kapan saja
G mau ah gue ikut,Enggak mau ah saya ikut
Gue ga nyangka bisa ketemu lo di sini,Saya tidak menyangka bisa ketemu kamu di sini
Ga ada sopan santun lo!,Tidak ada sopan santun kamu!
Gue gabisa dateng ke acara lo,Saya tidak bisa datang ke acara kamu
Gada waktu buat mikirin itu,Tidak ada waktu buat memikirkan itu
Gue gak mau ikut campur,Saya tidak mau ikut campur
Gak papa gue udah biasa,Tidak apa-apa saya sudah biasa
Ya ampun gue gak nyangka!,Ya ampun saya tidak menyangka!
Gakpapa santai aja,Tidak apa-apa santai saja
Ini kirain gue siapa gataunya elo!,Ini kirain saya siapa tidak tahunya kamu!
Gue gbs bahasa Inggris,Saya tidak bisa bahasa Inggris
Anak kecil itu bikin gemess!,Anak kecil itu bikin gemas!
Aduh gue gemessh banget sama dia,Aduh saya gemas sekali sama dia
Gini aja deh caranya,Begini saja deh caranya
Gk ada yang salah kok,Tidak ada yang salah kok
Gk usah khawatir gue baik-baik aja,Tidak usah khawatir saya baik-baik saja
Gk mungkin gue lupa sama lo,Tidak mungkin saya lupa sama kamu
Gw udah bilangin dari tadi,Gue sudah bilang dari tadi
Gue hdk pergi sekarang,Saya hendak pergi sekarang
Lo mau ke mana Ig?,Kamu mau ke mana lagi?
Judul igunya apa sih?,Judul lagunya apa sih?
Inget baik-baik ya pesen gue,Ingat baik-baik ya pesan saya
Gue inghinn banget ketemu dia,Saya ingin sekali ketemu dia
Io kok bisa sih?,Loh kok bisa sih?
Akhirnya jdi juga kita pergi,Akhirnya jadi juga kita pergi
Gue jdi males gara-gara dia,Saya jadi malas gara-gara dia
Jdi gimana nih rencananya?,Jadi bagaimana nih rencananya?
Jgn lupa bawa oleh-oleh ya,Jangan lupa bawa oleh-oleh ya
Gue mau ikut jugaa!,Saya mau ikut juga!
Mungkin aja dia lupa kaliii,Mungkin saja dia lupa kali
Kaloo gue jadi lo gue bakal lakuin hal yang sama,Kalau saya jadi kamu saya akan melakukan hal yang sama
Gue sedih karna lo gak dateng,Saya sedih karena kamu tidak datang
Gue gak suka sama kata2nyaaa,Saya tidak suka sama kata-katanya
Pintunya gak mau kebukaaa,Pintunya tidak mau terbuka
Rumahnya kek istana,Rumahnya seperti istana
Gayanya kek anak kecil,Gayanya seperti anak kecil
Suaranya kek Ariana Grande,Suaranya seperti Ariana Grande
Lo tuh yang salah keles!,Kamu tuh yang salah kali!
Wah mobil lo kerrrrennnn!,Wah mobil kamu keren!
Gue udah tau semua klakuan dia,Saya sudah tahu semua kelakuan dia
Klo gue jadi lo gue bakal maafin dia,Kalau saya jadi kamu saya akan memaafkan dia
Klw inget masa lalu gue jadi sedih,Kalau ingat masa lalu saya jadi sedih
Itu rumah lo kn?,Itu rumah kamu kan?
Kpan kita bisa ketemu lagi?,Kapan kita bisa ketemu lagi?
Kpn konsernya mulai?,Kapan konsernya mulai?
Gue gak bisa dateng krn sakit,Saya tidak bisa datang karena sakit
Gue gak bisa berhenti ktawa,Saya tidak bisa berhenti tertawa
Semua laki-laki sama aja,Semua laki-laki sama saja
Lakik itu emang susah dimengerti,Laki-laki itu memang susah dimengerti
Liat deh dia dateng sama siapa,Lihat deh dia datang sama siapa
Liattt gue punya sesuatu buat lo!,Lihat saya punya sesuatu buat kamu!
Gue suka liatnya dia ketawa,Saya suka melihatnya dia tertawa
Loohhh kok lo bisa ada di sini?,Loh kok kamu bisa ada di sini?
Anak kucing itu lucuu banget,Anak kucing itu lucu sekali
Aduh dia lucuuu banget sih!,Aduh dia lucu sekali sih!
Lo tuh emang lucu banget,Kamu tuh memang lucu sekali
Mereka berdua emang lucu banget,Mereka berdua memang lucu sekali
Gue sayang banget sama lu,Saya sayang sekali sama kamu
Gue gak nyangka lw bisa setegar ini,Saya tidak menyangka kamu bisa setegar ini
Makasih ya udah bantuin gue,Terima kasih ya sudah membantu saya
Dia suka banget mamer harta orang tuanya,Dia suka sekali memamerkan harta orang tuanya
Baju ini mantes banget di lo,Baju ini memantas sekali di kamu
Wah ide lo mantep banget!,Wah ide kamu mantap sekali!
Gue masio sayang sama dia,Saya masih sayang sama dia
Gue mauuuu banget liburan ke Bali,Saya mau sekali liburan ke Bali
Gue manggil dia mbakx,Saya memanggil dia mbaknya
Apa mksd lo ngomong gitu?,Apa maksud kamu bicara begitu?
Mksd dari semua ini apa sih?,Maksud dari semua ini apa sih?
Gue udah baik mlh dibales gini,Saya sudah baik malah dibalas begini
Ada manis2nya gitu pas dimakan,Ada manis-manisnya begitu pas dimakan
Mrk gak pernah hargain gue,Mereka tidak pernah menghargai saya
Kenapa kalian yg urus mreka.,Kenapa kalian yang urus mereka.
Mrk gak pernah hargain gue,Mereka tidak pernah menghargai saya
Gue msh sayang sama dia,Saya masih sayang sama dia
Gue males nanggepin omongan dia,Saya malas menanggapi omongan dia
Napa sih lo marah sama gue?,Kenapa sih kamu marah sama saya?
Napaa lo gak bilang dari awal?,Kenapa kamu tidak bilang dari awal?
Nape lo gak dateng kemarin?,Kenapa kamu tidak datang kemarin?
Gue mau nanya sesuatu sama lo,Saya mau bertanya sesuatu sama kamu
"Gue mau nanyaa, ini beneran?","Saya mau bertanya, ini benaran?"
Gue jadi nanya2 sendiri,Saya jadi bertanya-tanya sendiri
Gue gak mau nanya2in urusan orang,Saya tidak mau menanya-nanyakan urusan orang
Gue cuma nanyain kabar lo doang,Saya cuma menanyakan kabar kamu saja
Gue gak ngerti sama nanyanya dia,Saya tidak mengerti dengan tanyanya dia
Napa sih lo marah sama gue?,Kenapa sih kamu marah sama saya?
Ntar gue ngabarin lo lagi,Nanti saya mengabari kamu lagi
Dia ngais rejeki di jalanan,Dia mengais rejeki di jalanan
Lo jangan ngalay deh,Kamu jangan norak deh
Sikap dia nganehin gue,Sikap dia menganehkan saya
Suara lo itu ngangenin banget,Suara kamu itu mengangenkan sekali
Gue gak ngarap banyak dari lo,Saya tidak mengharap banyak dari kamu
Gue ngarasa ada yang aneh,Saya merasa ada yang aneh
Gue gak bisa ngartekno maksud dia,Saya tidak bisa mengartikan maksud dia
Gue mau ngasih ini buat lo,Saya mau memberi ini buat kamu
Lo gak bisa ngebohongin gue,Kamu tidak bisa membohongi saya
Jangan ngebut di jalan raya,Jangan mengebut di jalan raya
Anak muda sekarang suka ngebut2an,Anak muda sekarang suka balapan
Gue lagi ngeceng anak baru di kelas,Saya lagi menaksir anak baru di kelas
Lo gak boleh ngehina orang lain,Kamu tidak boleh menghina orang lain
Gue ngekos deket kampus,Saya ngekos dekat kampus
Enak ya jadi anak ngekost,Enak ya jadi anak ngekos
Gue lagi ngepoin sosmed dia,Saya lagi mencari tahu sosmed dia
Gue ngerasa bersalah sama dia,Saya merasa bersalah sama dia
Gue lagi ngerjain tugas kuliah,Saya lagi mengerjakan tugas kuliah
Di sini dilarang ngerokok,Di sini dilarang merokok
Gue gak suka ngerumpi,Saya tidak suka bergosip
Sikap lo itu ngeselin banget,Sikap kamu itu menjengkelkan sekali
Nggak kok gue becanda,Tidak kok saya bercanda
Nggakpapa gue udah biasa,Tidak apa-apa saya sudah biasa
Lo jangan ngibul deh,Kamu jangan berbohong deh
Gue ngimpi ketemu sama dia,Saya mimpi bertemu sama dia
Gue nginep di rumah temen,Saya menginap di rumah teman
Lo jangan asal ngmg ya,Kamu jangan asal mengomong ya
Kita perlu ngomongin ini baik-baik,Kita perlu membicarakan ini baik-baik
Ntar malem kita ngumpul di mana?,Nanti malam kita berkumpul di mana?
Gue lagi ngurus surat-surat,Saya lagi mengurus surat-surat
Gue lagi gak mau ngutang,Saya lagi tidak mau berutang
Nihh buat lo,Nih buat kamu
Malem ini kita nntn yuk!,Malam ini kita nonton yuk!
Ntar gue kabarin lagi ya,Nanti saya kabari lagi ya
Ntu dia orangnya,Itu dia orangnya
Rumahnya di sana,Rumahnya di sana
Lo nyebelin banget sih,Kamu menyebalkan sekali sih
Dia nyempil di antara kerumunan,Dia menyempil di antara kerumunan
Gue nyesel udah kenal sama dia,Saya menyesal sudah kenal sama dia
Gue nyesek banget rasanya,Saya sesak sekali rasanya
Gue gak suka sama orang yang nyinyir,Saya tidak suka sama orang yang menyindir
Gue ogah banget ketemu dia,Saya enggan sekali bertemu dia
Dia ogah2an buat bantuin kita,Dia enggan-engganan untuk membantu kita
Kerjanya ogah2an mulu,Kerjanya malas-malasan terus
Ogut gak mau ikut campur,Saya tidak mau ikut campur
"Okeh, gue berangkat sekarang","Oke, saya berangkat sekarang"
"Okelah, kalo gitu gue duluan","Baiklah, kalau begitu saya duluan"
"Okey, see you nanti","Oke, sampai jumpa nanti"
Acara itu diadain bulan Okt,Acara itu diadakan bulan Oktober
Gue beli baju ini di ol shop,Saya beli baju ini di toko online
"Omaigat, kok bisa gini sih?","Ya Tuhan, kok bisa gini sih?"
Lo jangan kebanyakan omdo deh,Kamu jangan kebanyakan omong doang deh
"Ommegat, gue lupa sesuatu","Ya Tuhan, saya lupa sesuatu"
Lo tuh oon banget sih,Kamu tuh bodoh sekali sih
Maaf ya kalo oot,Maaf ya kalau di luar topik
Gue gak kenal sama org itu,Saya tidak kenal sama orang itu
Org2 pada ngumpul di sana,Orang-orang pada berkumpul di sana
Gue mau pulang ke rumah ortu,Saya mau pulang ke rumah orang tua
"Gue otw nih, tunggu ya!","Saya dalam perjalanan nih, tunggu ya!"
Itu apaan sih?,Itu apaan sih?
Lo pakek baju apa nanti?,Kamu pakai baju apa nanti?
Pala gue pusing banget hari ini,Kepala saya pusing sekali hari ini
Dia suka pansos biar terkenal,Dia suka panjat sosial biar terkenal
Film itu parahhh banget!,Film itu parah sekali!
Pasutri baru itu lagi bulan madu,Pasangan suami istri baru itu lagi bulan madu
Gue harus pd dong,Saya harus percaya diri dong
Lo harus pede sama diri sendiri,Kamu harus percaya diri sama diri sendiri
Badan gue pegal semua hari ini,Badan saya pegal semua hari ini
Pejabat negara harusnya memberi contoh yang baik,Pejabat negara harusnya memberi contoh yang baik
Lo tuh pekok banget sih,Kamu tuh bodoh sekali sih
Jangan sampe jadi pelakor ya!,Jangan sampai jadi perebut laki orang ya!
Itu cuma pencitraan doang,Itu cuma pencitraan saja
Dia itu emang penjilat banget,Dia itu memang penjilat sekali
Dia punya banyak banget pens,Dia punya banyak sekali penggemar
Gue punya perasaan gak enak,Saya punya perasaan tidak enak
Gue butuh perhatian lebih dari dia,Saya butuh perhatian lebih dari dia
Dia masih perjaka ting-ting,Dia masih perjaka ting-ting
Dia masih perjaka ting-ting,Dia masih perjaka sejati
Dia masih perjaka tingting,Dia masih perjaka sejati
Dia masih perjaka tulen,Dia masih perjaka sejati
Dia masih perjaka tulen,Dia masih perjaka sejati
Dulu ada kasus petrus di Indonesia,Dulu ada kasus penembak misterius di Indonesia
"Pfffttt, gue gak peduli","Cih, saya tidak peduli"
"Pft, itu mah gampang","Cih, itu mah gampang"
"Pfttt, jangan sok jago deh","Cih, jangan sok jago deh"
Dia emang tukang PHP,Dia memang tukang pemberi harapan palsu
"Awas, matanya picek!","Awas, matanya buta sebelah!"
Mata lo picek banget sih,Mata kamu sipit sekali sih
Gue picek kalo malem,Saya rabun ayam kalau malam
Lo harus pikirin baik-baik,Kamu harus pikirkan baik-baik
Otak lo piktor banget sih,Otak kamu pikir kotor sekali sih
Pimred koran itu mengundurkan diri,Pemimpin redaksi koran itu mengundurkan diri
Lo emang pinter banget,Kamu memang pintar sekali
Dia itu pinterrr banget,Dia itu pintar sekali
Lo emang pinterrrr banget,Kamu memang pintar sekali
Dia itu pinterrrrr banget,Dia itu pintar sekali
Lo emang pinterrrrrr banget,Kamu memang pintar sekali
Dia itu pinterrrrrrr banget,Dia itu pintar sekali
Lo emang pinterrrrrrrr banget,Kamu memang pintar sekali
Dia itu pinterrrrrrrr banget,Dia itu pintar sekali
Lo emang pinterrrrrrrrr banget,Kamu memang pintar sekali
Dia itu pinterrrrrrrrrr banget,Dia itu pintar sekali
Lo emang pinterrrrrrrrrr banget,Kamu memang pintar sekali
Dia itu pinterrrrrrrrrrr banget,Dia itu pintar sekali
Lo emang pinterrrrrrrrrrr banget,Kamu memang pintar sekali
Dia itu pinterrrrrrrrrrrr banget,Dia itu pintar sekali
Lo emang pinterrrrrrrrrrrr banget,Kamu memang pintar sekali
Dia itu pinterrrrrrrrrrrrr banget,Dia itu pintar sekali
Lo emang pinterrrrrrrrrrrrr banget,Kamu memang pintar sekali
Dia itu pinterrrrrrrrrrrrrr banget,Dia itu pintar sekali
Lo emang pinterrrrrrrrrrrrrr banget,Kamu memang pintar sekali
Dia itu pinterrrrrrrrrrrrrrr banget,Dia itu pintar sekali
Lo emang pinterrrrrrrrrrrrrrr banget,Kamu memang pintar sekali
Dia itu pinterrrrrrrrrrrrrrrr banget,Dia itu pintar sekali
Lo emang pinterrrrrrrrrrrrrrrr banget,Kamu memang pintar sekali
Dia itu pinterrrrrrrrrrrrrrrrr banget,Dia itu pintar sekali
Lo emang pinterrrrrrrrrrrrrrrrr banget,Kamu memang pintar sekali
Dia itu pinterrrrrrrrrrrrrrrrrr banget,Dia itu pintar sekali
Lo emang pinterrrrrrrrrrrrrrrrrr banget,Kamu memang pintar sekali
Dia itu pinterrrrrrrrrrrrrrrrrrr banget,Dia itu pintar sekali
Lo emang pinterrrrrrrrrrrrrrrrrrr banget,Kamu memang pintar sekali
Dia itu pinterrrrrrrrrrrrrrrrrrrr banget,Dia itu pintar sekali
Lo emang pinterrrrrrrrrrrrrrrrrrrr banget,Kamu memang pintar sekali
Dia itu pinterrrrrrrrrrrrrrrrrrrrr banget,Dia itu pintar sekali
Lo emang pinterrrrrrrrrrrrrrrrrrrrr banget,Kamu memang pintar sekali
Dia itu pinterrrrrrrrrrrrrrrrrrrrrr banget,Dia itu pintar sekali
Lo emang pinterrrrrrrrrrrrrrrrrrrrrr banget,Kamu memang pintar sekali
Dia itu pinterrrrrrrrrrrrrrrrrrrrrrr banget,Dia itu pintar sekali
Lo emang pinterrrrrrrrrrrrrrrrrrrrrrr banget,Kamu memang pintar sekali
Dia itu pinterrrrrrrrrrrrrrrrrrrrrrrr banget,Dia itu pintar sekali
Lo emang pinterrrrrrrrrrrrrrrrrrrrrrrr banget,Kamu memang pintar sekali
Dia itu pinterrrrrrrrrrrrrrrrrrrrrrrrr banget,Dia itu pintar sekali
Lo emang pinterrrrrrrrrrrrrrrrrrrrrrrrr banget,Kamu memang pintar sekali
Dia itu pinterrrrrrrrrrrrrrrrrrrrrrrrrr banget,Dia itu pintar sekali
Lo emang pinterrrrrrrrrrrrrrrrrrrrrrrrrr banget,Kamu memang pintar sekali
Dia itu pinterrrrrrrrrrrrrrrrrrrrrrrrrrr banget,Dia itu pintar sekali
Lo emang pinterrrrrrrrrrrrrrrrrrrrrrrrrrr banget,Kamu memang pintar sekali
Dia itu pinterrrrrrrrrrrrrrrrrrrrrrrrrrrr banget,Dia itu pintar sekali
Lo emang pinterrrrrrrrrrrrrrrrrrrrrrrrrrrr banget,Kamu memang pintar sekali
Dia itu pinterrrrrrrrrrrrrrrrrrrrrrrrrrrrr banget,Dia itu pintar sekali
Lo emang pinterrrrrrrrrrrrrrrrrrrrrrrrrrrrr banget,Kamu memang pintar sekali
Dia itu pinterrrrrrrrrrrrrrrrrrrrrrrrrrrrrr banget,Dia itu pintar sekali
Lo emang pinterrrrrrrrrrrrrrrrrrrrrrrrrrrrrr banget,Kamu memang pintar sekali
Dia itu pinterrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr banget,Dia itu pintar sekali
Lo emang pinterrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr banget,Kamu memang pintar sekali
Dia itu pinterrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr banget,Dia itu pintar sekali
Lo emang pinterrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr banget,Kamu memang pintar sekali
Dia itu pinterrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr banget,Dia itu pintar sekali
Udh lama ya kita gak ketemu.,Sudah lama ya kita tidak bertemu.
Aku udah bilang dari tadi!,Aku sudah mengatakan dari tadi!
"Aku gak mau ikut, aku ugak suka tempat rame.","Aku tidak mau ikut, aku juga tidak suka tempat ramai."
Dia ugaaa pengen ikut liburan.,Dia juga ingin ikut liburan.
"Eh, itu si Uwakk lewat!","Eh, itu si Uwak lewat!"
Kamu pilih warnaaa apa buat bajunya?,Kamu pilih warna apa untuk bajunya?
"Yaaa, akhirnya selesai juga tugas ini.","Ya, akhirnya selesai juga tugas ini."
"Yakk, betul sekali!","Ya, betul sekali!"
"Yank, kamu mau makan apa malam ini?","Sayang, kamu mau makan apa malam ini?"
"Ooh, jadi gitu yha.","Ooh, jadi begitu ya."
Aku suka banget sama lagu yg ini.,Aku suka sekali dengan lagu yang ini.
Makanan yg di sana enak-enak.,Makanan yang di sana enak-enak.
Rumah yg itu baru selesai dibangun.,Rumah yang itu baru selesai dibangun.
Semua yg kamu mau pasti aku kasih.,Semua yang kamu mau pasti aku beri.
Anak yg itu bandel banget.,Anak yang itu nakal sekali.
Orang yg pakai baju merah itu siapa?,Orang yang memakai baju merah itu siapa?
Aku gak nyangka dia bakal ngomong yg kayak gitu.,Aku tidak menyangka dia akan berbicara yang seperti itu.
Itu bukan hal yg mudah.,Itu bukan hal yang mudah.
Aku lagi nyari orang yg bisa bantu aku.,Aku sedang mencari orang yang bisa membantuku.
"Yuuuk, kita pergi sekarang!","Yuk, kita pergi sekarang!"
"Yuuk, makan malam di luar!","Yuk, makan malam di luar!"
Gue lagi mager banget hari ini,Aku lagi malas sekali hari ini.
Lu nonton yutub apa semalem?,Kamu menonton youtube apa semalam?
Otw ke rumah temen gue sekarang,Menuju ke rumah teman aku sekarang.
Ak gatau kalo lu dah nonton itu,Aku tidak tahu kalau kamu sudah menonton itu.
Bsk kita nongkrong yok di cafe,Besok kita nongkrong yuk di kafe.
Jan lupa donlot film baru ya,Jangan lupa mengunduh film baru ya.
Gegara macet gue jadi telat,Gara-gara macet aku jadi terlambat.
Apaan sih lu lebay banget,Apa sih kamu berlebihan sekali.
Gak ada kerjaan bosen banget,Tidak ada kerjaan bosan sekali.
Anjir filmnya keren banget,Filmnya keren sekali.
Ajiggg itu orang ngeselin banget,Orang itu menyebalkan sekali.
Apaan sih yang lo omongin itu,Apa sih yang kamu bicarakan itu.
Gue mlooo disuruh belajar terus,Aku terus disuruh belajar.
Grgr tugas numpuk jadi stress,Gara-gara tugas menumpuk jadi stres.
Smt ini bener-bener capek,Semester ini benar-benar capek.
Ttp semangat ya guys,Tetap semangat ya teman-teman.
Yok kita hangout abis ini,Yuk kita hangout habis ini.
Beritane di tv makin serem,Beritanya di tv makin seram.
Nurut2 aja apa kata guru,Nurut-nurut saja apa kata guru.
Wa gue error dari tadi,Whatsapp aku error dari tadi.
Mapel matematika emang susah,Mata pelajaran matematika memang susah.
Ni buku keknya menarik buat dibaca,Buku ini kayaknya menarik untuk dibaca.
Bosen banget dirumah terus,Bosan sekali di rumah terus.
Capek banget abis olahraga,Cape sekali habis olahraga.
Bego banget sih gue bisa lupa,Bodoh sekali sih aku bisa lupa.
Kagak ada yang mau nemenin gue,Tidak ada yang mau menemani aku.
Kesel banget gue sama dia,Kesal sekali aku sama dia.
Bang tolong pesenin kopi satu,Mas tolong pesankan kopi satu.
Ak pengen cepet-cepet lulus,Aku pengen cepat-cepat lulus.
Gue sma dia udah lama temenan,Aku sama dia sudah lama berteman.
Tbtb dia ngilang tanpa kabar,Tiba-tiba dia menghilang tanpa kabar.
Wasap gue error nih hari ini,Whatsapp aku error nih hari ini.
Anjir ngakak banget gue liat itu,Aku ngakak sekali liat itu.
Gue pen cepet pulang aja,Aku pengen cepat pulang saja.
Offline aja deh biar seru,Offline saja deh biar seru.
Dasar2nya harus kuat dulu,Dasar-dasarnya harus kuat dulu.
Walhasil gue jadi telat dateng,Hasilnya aku jadi terlambat datang.
Semuga kita semua sehat selalu,Semoga kita semua sehat selalu.
Terus2an aja ujan dari pagi,Terus-terusan saja hujan dari pagi.
Gaes jangan lupa tugas ya,Teman-teman jangan lupa tugas ya.
Cm itu doang yang gue mau,Cuma itu doang yang aku mau.
Babay semuanya gue cabut dulu,Selamat tinggal semuanya aku pergi dulu.
Ntah kenapa gue jadi sedih gini,Entah kenapa aku jadi sedih gini.
Diruma aja gue seharian ini,Di rumah aja aku seharian ini.
Gtau deh gue harus gimana,Tidak tahu deh aku harus bagaimana.
Anjai keren banget penampilan lo,Keren sekali penampilan kamu.
G ada yang bisa gue lakuin,Tidak ada yang bisa aku lakukan.
Samsek gue gak ngerti,Sama sekali aku gak ngerti.
Ppt gue belom selesai nih,Slide presentasi aku belum selesai nih.
Gada sinyal disini syalan,Tidak ada sinyal di sini sialan.
Quiz nya susah banget tadi,Kuisnya susah sekali tadi.
Puyeng banget gue mikirin tugas,Pusing sekali aku memikirkan tugas.
Receh banget lawakan lo,Tidak menarik sekali lawakan kamu.
Krn ujan jadi mager keluar,Karena hujan jadi malas keluar.
Bget dah pokoknya hari ini,sekali dah pokoknya hari ini.
Quota gue abis buat download film,Kuota aku habis buat mengunduh film.
E learning bikin puyeng kepala,Pembelajaran jarak jauh bikin pusing kepala.
Mtk emang pelajaran paling susah,Matematika memang pelajaran paling susah.
Ansos banget sih lo dirumah terus,Anti sosial sekali sih kamu di rumah terus.
Yutub gue error nih gak bisa buffering,Youtube aku error nih gak bisa buffering.
Masalh ini bikin gue pusing,Masalah ini bikin aku pusing.
Game baru ini seru banget,Permainan baru ini seru sekali.
Sy gak suka pelajaran ini,Saya tidak suka pelajaran ini.
Sprt nya kita harus belajar kelompok,Seperti nya kita harus belajar kelompok.
Ketrbtsn waktu bikin gue stress,Keterbatasan waktu bikin aku stres.
Kyk nya gue kenal sama dia,Kayak nya aku kenal sama dia.
Kayak nya besok ujan lagi,Sepertinya besok hujan lagi.
Tjukup sekian materi hari ini,Cukup sekian materi hari ini.
Bs kali kita pergi liburan bareng,Bisa kali kita pergi liburan bareng.
Stay dirumah aja biar aman,Tinggal di rumah saja biar aman.
Cri makan enak dimana ya malem ini,Cari makan enak di mana ya malam ini.
Ttng kejadian semalem jangan sampe lupa,Tentang kejadian semalam jangan sampai lupa.
Ajg ngeselin banget tuh orang,Orang itu ngeselin sekali.
Sekolah2 pada libur gegara corona,Sekolah-sekolah pada libur gara-gara corona.
Aing mah apa atuh cuma bisa pasrah,Aku mah apa atuh cuma bisa pasrah.
Sama2 ya udah gue bantuin,Sama-sama ya sudah aku bantu.
Kea nya dia suka sama lo,Sepertinya dia suka sama kamu.
Ato gak kita pergi besok aja,Atau tidak kita pergi besok saja.
Demen banget gue sama lagu ini,Suka sekali aku sama lagu ini.
F2f emang lebih enak daripada online,Tatap muka memang lebih enak daripada online.
Igsng aja gue kirim sekarang,Langsung saja aku kirim sekarang.
Ngirim tugasnya lewat email aja,Mengirim tugasnya lewat email saja.
Smpe sekarang gue masih bingung,Sampai sekarang aku masih bingung.
Typo mulu gue kalo ngetik cepet,Salah penulisan mulu aku kalau mengetik cepat.
Krna maunya sekarang ya sekarang,Karena maunya sekarang ya sekarang.
